No,Left,Right,Total Distance,Date
1,4.124,6.799,127.946,22-01-06 13:50:35
2,3.357,7.094,127.473,22-01-06 13:50:46
3,6.746,4.135,127.904,22-01-06 13:50:51
4,5.318,4.747,127.088,22-01-06 13:50:56
5,7.276,3.151,127.45,22-01-06 13:51:01
6,6.996,3.85,127.868,22-01-06 13:51:05
7,5.443,4.663,127.129,22-01-06 13:51:10
8,7.005,3.08,127.109,22-01-06 13:51:15
9,5.865,6.376,129.263,22-01-06 13:51:20
10,4.134,6.799,127.956,22-01-06 13:51:38
11,3.365,7.088,127.476,22-01-06 13:51:50
12,6.744,4.14,127.907,22-01-06 13:51:55
13,5.341,4.726,127.09,22-01-06 13:52:00
14,7.269,3.154,127.446,22-01-06 13:52:05
15,6.992,3.857,127.871,22-01-06 13:52:09
16,5.43,4.678,127.131,22-01-06 13:52:14
17,7.004,3.081,127.108,22-01-06 13:52:19
18,5.86,6.385,129.267,22-01-06 13:52:24
19,4.098,6.782,127.903,22-01-06 16:08:25
20,4.244,6.123,127.39,22-01-06 16:08:29
21,4.133,6.758,127.914,22-01-06 17:13:23
22,4.056,6.8,127.879,22-01-06 17:13:44
23,4.105,6.267,127.395,22-01-06 17:13:49
24,3.32,7.04,127.383,22-01-06 17:13:54
25,6.705,4.101,127.829,22-01-06 17:13:58
26,5.441,4.585,127.05,22-01-06 17:14:03
27,6.966,3.853,127.842,22-01-06 17:14:14
28,5.389,4.687,127.098,22-01-06 17:14:19
29,4.056,6.815,127.894,22-01-06 17:14:46
30,3.326,7.037,127.386,22-01-06 17:14:57
31,6.701,4.102,127.826,22-01-06 17:15:02
32,5.455,4.565,127.044,22-01-06 17:15:07
33,7.25,3.057,127.33,22-01-06 17:15:12
34,6.972,3.836,127.831,22-01-06 17:15:17
35,5.387,4.692,127.102,22-01-06 17:15:22
36,7.257,2.823,127.103,22-01-06 17:15:27
37,5.942,6.279,129.244,22-01-06 17:15:31
38,4.055,6.815,127.893,22-01-06 17:15:53
39,4.081,6.287,127.391,22-01-06 17:15:58
40,3.334,7.039,127.396,22-01-06 17:16:02
41,4.039,6.815,127.876,22-01-06 21:18:08
42,4.037,6.817,127.877,22-01-06 21:19:42
43,4.028,6.824,127.874,22-01-06 21:21:35
44,4.017,6.354,127.394,22-01-06 21:21:40
45,3.295,7.067,127.385,22-01-06 21:21:44
46,3.909,6.933,127.865,22-01-06 21:33:50
47,3.772,7.062,127.857,22-01-06 21:53:15
48,3.771,7.062,127.856,22-01-06 21:53:29
49,3.768,7.061,127.853,22-01-06 21:53:46
50,3.76,7.067,127.85,22-01-06 21:54:57
51,3.743,7.081,127.848,22-01-06 21:55:15
52,3.763,7.067,127.854,22-01-06 21:56:58
53,3.676,6.663,127.361,22-01-06 21:57:03
54,3.763,7.067,127.853,22-01-06 21:57:36
55,3.66,6.687,127.37,22-01-06 21:57:41
56,3.218,7.137,127.378,22-01-06 21:57:46
57,3.758,7.072,127.853,22-01-06 22:01:32
58,3.639,6.699,127.36,22-01-06 22:01:36
59,3.221,7.134,127.378,22-01-06 22:01:41
60,6.606,4.215,127.843,22-01-06 22:01:46
61,5.405,4.639,127.067,22-01-06 22:01:51
62,5.405,4.639,0,22-01-06 22:01:56
63,6.977,3.834,127.834,22-01-06 22:02:03
64,5.116,4.939,127.078,22-01-06 22:02:08
65,6.76,3.258,127.041,22-01-06 22:02:13
66,5.847,6.35,129.22,22-01-06 22:02:18
67,3.76,7.07,127.853,22-01-06 22:04:32
68,3.618,6.721,127.362,22-01-06 22:04:36
69,3.221,7.133,127.377,22-01-06 22:04:41
70,6.602,4.217,127.842,22-01-06 22:04:46
71,5.406,4.638,127.068,22-01-06 22:04:51
72,5.406,4.638,0,22-01-06 22:04:55
73,6.985,3.826,127.833,22-01-06 22:05:02
74,5.101,4.948,127.072,22-01-06 22:05:07
75,6.746,3.276,127.045,22-01-06 22:05:12
76,3.737,7.096,127.856,22-01-06 22:05:39
77,3.574,6.761,127.357,22-01-06 22:05:44
78,3.743,7.075,127.841,22-01-06 22:05:53
79,3.524,6.83,127.377,22-01-06 22:05:58
80,3.742,7.076,127.841,22-01-06 22:06:24
81,3.742,7.076,127.841,22-01-06 22:06:40
82,3.515,6.84,127.378,22-01-06 22:06:44
83,3.21,7.136,127.369,22-01-06 22:06:49
84,6.577,4.243,127.842,22-01-06 22:06:53
