No,Left,Right,Total Distance,Date
1,3.631,7.048,127.702,22-01-07 09:15:05
2,3.408,6.812,127.243,22-01-07 09:15:09
3,3.199,7.033,127.255,22-01-07 09:15:14
4,3.199,7.033,0,22-01-07 09:15:18
5,6.928,3.019,126.97,22-01-07 09:15:27
6,6.928,3.019,0,22-01-07 09:15:31
7,3.677,7.061,127.76,22-01-07 09:15:53
8,3.684,7.05,127.757,22-01-07 09:16:28
9,3.681,7.053,127.757,22-01-07 09:17:16
10,3.679,7.058,127.76,22-01-07 09:18:16
11,3.443,6.824,127.29,22-01-07 09:18:21
12,3.679,7.06,127.761,22-01-07 09:18:39
13,3.427,6.835,127.284,22-01-07 09:18:44
14,3.233,7.031,127.287,22-01-07 09:18:48
15,3.55,7.175,127.748,22-01-07 09:18:53
16,6.956,3.007,126.986,22-01-07 09:18:58
17,6.956,3.007,0,22-01-07 09:19:03
18,7.019,3.71,127.752,22-01-07 09:19:09
19,5.064,4.908,126.994,22-01-07 09:19:14
20,6.644,3.314,126.981,22-01-07 09:19:19
21,5.796,6.366,129.184,22-01-07 09:19:24
22,3.721,7.101,127.845,22-01-07 11:13:45
23,3.793,7.05,127.866,22-01-07 11:13:55
24,3.815,7.023,127.861,22-01-07 11:15:06
25,3.301,7.04,127.364,22-01-07 11:15:11
26,3.22,7.122,127.365,22-01-07 11:15:15
27,0,0,0,22-01-07 11:21:06
28,0,0,0,22-01-07 11:21:13
29,3.168,7.188,127.379,22-01-07 11:23:30
30,3.779,7.058,127.86,22-01-07 11:23:47
31,3.14,7.219,127.381,22-01-07 11:23:51
32,3.857,7.03,127.909,22-01-07 12:45:40
33,3.859,7.03,127.911,22-01-07 12:46:09
34,3.839,7.039,127.901,22-01-07 12:47:23
35,3.128,7.252,127.403,22-01-07 12:47:28
36,3.321,7.075,127.418,22-01-07 12:47:33
37,3.779,7.096,127.898,22-01-07 12:47:37
38,7.209,2.876,127.108,22-01-07 12:47:42
39,7.209,2.876,0,22-01-07 12:47:47
40,7.002,3.88,127.906,22-01-07 12:48:04
41,4.86,5.235,127.118,22-01-07 12:48:09
42,3.838,7.042,127.903,22-01-07 12:48:46
43,3.116,7.267,127.406,22-01-07 12:48:51
44,3.316,7.084,127.423,22-01-07 12:48:55
45,3.77,7.104,127.897,22-01-07 12:49:00
46,7.227,2.862,127.112,22-01-07 12:49:05
47,7.227,2.862,127.898,22-01-07 12:49:10
48,7.005,3.868,127.895,22-01-07 12:49:20
49,4.855,5.24,127.118,22-01-07 12:49:25
50,6.488,3.586,127.096,22-01-07 12:49:30
51,5.801,6.416,129.239,22-01-07 12:49:35
52,3.838,7.058,127.918,22-01-07 12:49:59
53,3.096,7.284,127.403,22-01-07 12:50:04
54,3.324,7.072,127.418,22-01-07 12:50:08
55,3.766,7.108,127.898,22-01-07 12:50:12
56,7.24,2.843,127.106,22-01-07 12:50:18
57,7.24,2.843,127.898,22-01-07 12:50:22
58,7.004,3.869,127.896,22-01-07 12:50:30
59,4.851,5.248,127.121,22-01-07 12:50:36
60,6.483,3.591,127.097,22-01-07 12:50:40
61,5.789,6.426,129.239,22-01-07 12:50:45
62,3.835,7.043,127.901,22-01-07 12:51:14
63,3.085,7.299,127.407,22-01-07 12:51:19
64,3.325,7.075,127.422,22-01-07 12:51:24
65,3.763,7.111,127.897,22-01-07 12:51:29
66,7.251,2.835,127.109,22-01-07 12:51:34
67,4.638,5.754,127.415,22-01-07 12:51:38
68,6.047,4.828,127.898,22-01-07 12:51:43
69,4.818,5.272,127.113,22-01-07 12:51:48
70,6.476,3.6,127.098,22-01-07 12:51:53
71,5.777,6.437,129.237,22-01-07 12:51:57
72,3.836,7.058,127.917,22-01-07 12:52:17
73,3.838,7.059,127.92,22-01-07 13:03:55
74,3.14,7.249,127.411,22-01-07 13:04:00
75,3.47,6.926,127.42,22-01-07 13:04:04
76,3.76,7.108,127.891,22-01-07 13:04:09
77,7.156,2.927,127.106,22-01-07 13:04:14
78,4.372,6.01,127.405,22-01-07 13:04:19
79,6.104,4.777,127.904,22-01-07 13:04:23
80,4.746,5.349,127.118,22-01-07 13:04:28
81,6.467,3.612,127.102,22-01-07 13:04:33
82,5.753,6.464,129.24,22-01-07 13:04:38
83,3.837,7.048,127.908,22-01-07 13:08:53
84,3.123,7.262,127.408,22-01-07 13:08:57
85,3.471,6.92,127.414,22-01-07 13:09:01
86,3.76,7.108,127.891,22-01-07 13:09:06
87,7.172,2.91,127.105,22-01-07 13:09:11
88,4.406,5.994,127.423,22-01-07 13:09:16
89,6.12,4.753,127.897,22-01-07 13:09:20
90,4.746,5.351,127.12,22-01-07 13:09:25
91,6.452,3.624,127.099,22-01-07 13:09:30
92,5.709,6.502,129.234,22-01-07 13:09:35
93,3.76,7.11,127.892,22-01-07 13:28:46
94,7.192,2.897,127.112,22-01-07 13:28:51
95,3.835,7.066,127.924,22-01-07 13:29:08
96,3.835,7.052,127.909,22-01-07 13:30:52
97,3.834,7.052,127.909,22-01-07 13:31:09
98,3.763,7.107,127.892,22-01-07 13:31:50
99,7.197,2.893,127.113,22-01-07 13:31:55
100,3.834,7.052,127.909,22-01-07 13:32:26
101,3.099,7.286,127.408,22-01-07 13:32:31
102,3.473,6.923,127.419,22-01-07 13:32:35
103,3.761,7.109,127.893,22-01-07 13:32:40
104,3.833,7.066,127.923,22-01-07 13:34:59
105,3.101,7.287,127.41,22-01-07 13:35:04
106,3.83,7.06,127.913,22-01-07 13:51:30
107,3.101,7.286,127.41,22-01-07 13:51:35
108,3.487,6.908,127.418,22-01-07 13:51:40
109,3.762,7.11,127.895,22-01-07 13:51:44
110,3.759,7.111,127.893,22-01-07 13:54:13
111,3.76,7.11,127.893,22-01-07 13:55:14
112,3.835,7.056,127.914,22-01-07 14:28:50
113,3.1,7.293,127.415,22-01-07 14:28:55
114,3.486,6.919,127.429,22-01-07 14:29:00
115,3.765,7.124,127.912,22-01-07 14:29:05
116,7.212,2.877,127.112,22-01-07 14:29:10
