No,Left,Right,Total Distance,Date
1,3.813,5.926,126.958,22-01-14 09:12:35
2,6.088,4.394,127.7,22-01-14 09:12:40
3,7.014,2.981,127.213,22-01-14 09:12:45
4,6.069,3.927,127.214,22-01-14 09:12:50
5,6.564,3.433,127.215,22-01-14 09:12:55
6,6.709,3.009,126.937,22-01-14 09:12:59
7,3.68,6.32,127.218,22-01-14 09:13:04
8,5.719,6.159,129.095,22-01-14 09:13:09
9,6.716,2.982,126.916,22-01-14 09:13:14
10,6.979,2.719,126.916,22-01-14 09:13:19
11,3.808,5.94,126.966,22-01-14 09:13:42
12,6.083,4.404,127.705,22-01-14 09:13:47
13,7.019,2.98,127.217,22-01-14 09:13:51
14,6.063,3.935,127.216,22-01-14 09:13:56
15,6.553,3.444,127.215,22-01-14 09:14:00
16,6.712,3.009,126.939,22-01-14 09:14:05
17,3.664,6.329,127.211,22-01-14 09:14:09
18,5.728,6.15,129.096,22-01-14 09:14:14
19,6.721,2.976,126.915,22-01-14 09:14:18
20,6.966,2.732,126.915,22-01-14 09:14:23
21,3.807,5.932,126.957,22-01-14 09:19:18
22,6.083,4.406,127.707,22-01-14 09:19:23
23,7.028,2.975,127.221,22-01-14 09:19:27
24,6.063,3.938,127.218,22-01-14 09:19:32
25,6.534,3.467,127.219,22-01-14 09:19:36
26,6.692,3.03,126.94,22-01-14 09:19:40
27,3.677,6.325,127.22,22-01-14 09:19:45
28,5.76,6.12,129.098,22-01-14 09:19:49
29,6.752,2.949,126.919,22-01-14 09:19:54
30,6.939,2.764,126.921,22-01-14 09:19:58
31,2.517,7.23,126.965,22-01-14 09:43:56
32,4.928,5.568,127.714,22-01-14 09:44:01
33,6.461,3.555,127.234,22-01-14 09:44:06
34,5.65,4.352,127.22,22-01-14 09:44:10
35,5.224,4.776,127.218,22-01-14 09:44:15
36,6.485,3.234,126.937,22-01-14 09:44:19
37,4.493,5.505,127.216,22-01-14 09:44:24
38,5.574,6.305,129.098,22-01-14 09:44:28
39,6.786,2.915,126.918,22-01-14 09:44:33
40,2.81,6.893,126.922,22-01-14 09:44:37
41,2.551,7.193,126.962,22-01-14 09:44:54
42,2.551,7.195,126.965,22-01-14 09:45:34
43,4.974,5.514,127.706,22-01-14 09:45:38
44,6.508,3.495,127.221,22-01-14 09:45:43
45,5.67,4.333,127.221,22-01-14 09:45:47
46,5.301,4.715,127.235,22-01-14 09:45:52
47,6.516,3.205,126.939,22-01-14 09:45:56
48,4.543,5.46,127.22,22-01-14 09:46:00
49,5.636,6.243,129.097,22-01-14 09:46:05
50,6.861,2.84,126.919,22-01-14 09:46:09
51,6.998,2.745,126.961,22-01-14 10:08:42
52,4.435,6.056,127.709,22-01-14 10:08:47
53,7.159,2.845,127.223,22-01-14 10:08:51
