No,Left,Right,Total Distance,Date
1,0,0,0,22-01-12 09:13:40
2,5.05,7.141,129.314,22-01-12 09:13:47
3,0,0,0,22-01-12 09:15:48
4,5.014,7.173,129.429,22-01-12 09:15:54
5,3.979,6.336,127.557,22-01-12 09:15:59
6,6.434,4.347,128.023,22-01-12 09:16:04
7,7.195,2.821,127.257,22-01-12 09:16:09
8,3.995,6.309,127.546,22-01-12 09:16:14
9,6.82,3.966,128.027,22-01-12 09:16:19
10,6.897,3.119,127.258,22-01-12 09:16:23
11,3.758,6.546,127.546,22-01-12 09:16:28
12,3.758,6.546,0,22-01-12 09:16:33
13,0,0,0,22-01-12 14:12:43
14,4.991,7.21,129.443,22-01-12 14:12:49
15,3.978,6.375,127.594,22-01-12 14:12:54
16,6.441,4.375,128.057,22-01-12 14:12:59
17,7.222,2.826,127.289,22-01-12 14:13:04
18,4.024,6.319,127.585,22-01-12 14:13:09
19,6.828,3.996,128.066,22-01-12 14:13:14
20,6.894,3.152,127.287,22-01-12 14:13:18
21,3.756,6.584,127.581,22-01-12 14:13:23
22,3.756,6.584,0,22-01-12 14:13:28
23,0,0,0,22-01-12 14:14:02
24,4.994,7.208,129.443,22-01-12 14:14:36
25,3.976,6.376,127.593,22-01-12 14:14:40
26,6.437,4.376,128.054,22-01-12 14:14:45
27,7.224,2.817,127.282,22-01-12 14:14:50
28,4.024,6.317,127.582,22-01-12 14:14:55
29,6.83,3.991,128.062,22-01-12 14:14:59
30,6.888,3.158,127.287,22-01-12 14:15:04
31,3.754,6.589,127.584,22-01-12 14:15:09
32,3.754,6.589,0,22-01-12 14:15:14
33,0,0,0,22-01-12 14:16:57
34,4.993,7.209,129.444,22-01-12 14:17:03
35,3.982,6.367,127.591,22-01-12 14:17:08
36,6.436,4.38,128.058,22-01-12 14:17:13
37,7.24,2.8,127.281,22-01-12 14:17:18
38,4.029,6.311,127.581,22-01-12 14:17:22
39,6.837,3.988,128.066,22-01-12 14:17:27
40,6.879,3.173,127.293,22-01-12 14:17:31
