No,Left,Right,Total Distance,Date
1,7.346,2.913,127.282,22-01-04 09:40:59
2,6.2,3.796,127.019,22-01-04 09:41:04
3,7.351,2.926,127.299,22-01-04 09:48:11
4,6.207,3.823,127.053,22-01-04 09:48:16
5,7.35,2.924,127.297,22-01-04 09:49:46
6,6.212,3.794,127.029,22-01-04 09:49:51
7,6.808,3.971,127.802,22-01-04 09:49:55
8,6.568,5.388,128.98,22-01-04 09:50:00
9,5.644,6.523,129.19,22-01-04 09:50:05
10,5.772,6.178,128.973,22-01-04 09:50:10
11,7.037,4.825,128.885,22-01-04 09:50:15
12,5.665,4.629,127.317,22-01-04 09:50:20
13,4.861,7.056,128.94,22-01-04 09:50:25
14,5.995,4.319,127.336,22-01-04 09:50:30
15,7.339,2.968,127.33,22-01-04 10:31:45
16,6.227,3.806,127.056,22-01-04 10:31:51
17,6.821,3.984,127.827,22-01-04 10:31:55
18,6.566,5.402,128.991,22-01-04 10:32:00
19,6.019,6.152,129.194,22-01-04 10:32:05
20,7.063,4.898,128.984,22-01-04 10:32:11
21,7.059,4.811,128.892,22-01-04 10:32:16
22,7.269,3.032,127.324,22-01-04 10:32:21
23,6.037,5.883,128.943,22-01-04 10:32:26
24,6.084,4.25,127.357,22-01-04 10:32:30
25,7.339,3.004,127.365,22-01-04 14:01:11
26,6.244,3.83,127.098,22-01-04 14:01:16
27,6.841,4.017,127.881,22-01-04 14:01:21
28,6.936,3.438,127.398,22-01-04 14:01:26
29,6.687,4.17,127.88,22-01-04 14:01:30
30,6.728,4.142,127.893,22-01-04 14:01:35
31,6.714,3.358,127.095,22-01-04 14:01:57
32,6.54,3.535,127.098,22-01-04 14:02:02
33,6.97,3.068,127.061,22-01-04 14:02:07
34,7.336,3.016,127.376,22-01-04 14:02:24
35,6.252,3.826,127.1,22-01-04 14:02:29
36,6.831,4.023,127.877,22-01-04 14:02:34
37,6.931,3.44,127.395,22-01-04 14:02:39
38,6.691,4.176,127.89,22-01-04 14:02:43
39,6.717,4.144,127.884,22-01-04 14:02:47
40,6.707,3.371,127.101,22-01-04 14:03:00
41,6.533,3.548,127.103,22-01-04 14:03:05
42,6.964,3.075,127.062,22-01-04 14:03:09
43,7.34,3.01,127.373,22-01-04 14:04:06
44,6.247,3.827,127.098,22-01-04 14:04:11
45,6.821,4.03,127.875,22-01-04 14:04:16
46,6.951,3.447,127.421,22-01-04 14:04:19
47,6.688,4.162,127.873,22-01-04 14:04:24
48,7.286,3.05,127.359,22-01-04 14:04:29
49,6.746,4.109,127.877,22-01-04 14:04:34
50,4,6.098,127.121,22-01-04 14:04:39
51,6.536,3.547,127.105,22-01-04 14:04:44
52,6.942,3.083,127.048,22-01-04 14:04:47
53,7.337,3.041,127.401,22-01-04 14:05:04
54,6.253,3.826,127.102,22-01-04 14:05:08
55,6.818,4.034,127.875,22-01-04 14:05:12
56,6.693,4.186,127.902,22-01-04 14:05:24
57,7.311,3.078,127.412,22-01-04 14:05:27
58,6.768,4.093,127.884,22-01-04 14:05:31
59,4.01,6.076,127.11,22-01-04 14:05:35
