No,Left,Right,Total Distance,Date
1,3.033,6.662,127.189,22-01-17 08:58:45
2,3.8,6.632,127.926,22-01-17 08:58:50
3,7.138,2.811,127.444,22-01-17 08:58:54
4,4.031,5.92,127.445,22-01-17 08:58:59
5,6.737,3.214,127.445,22-01-17 08:59:03
6,6.703,2.967,127.165,22-01-17 08:59:08
7,5.722,4.246,127.462,22-01-17 08:59:12
8,4.863,6.999,129.356,22-01-17 08:59:17
9,3.488,6.169,127.151,22-01-17 08:59:22
10,2.496,7.161,127.151,22-01-17 08:59:26
11,3.013,6.68,127.186,22-01-17 08:59:38
12,3.802,6.629,127.925,22-01-17 08:59:42
13,7.161,2.79,127.445,22-01-17 08:59:47
14,4.029,5.928,127.451,22-01-17 08:59:51
15,6.721,3.23,127.444,22-01-17 08:59:56
16,6.708,2.96,127.161,22-01-17 09:00:00
17,5.754,4.217,127.465,22-01-17 09:00:05
18,4.932,6.928,129.354,22-01-17 09:00:09
19,3.525,6.142,127.16,22-01-17 09:00:14
20,2.519,7.137,127.15,22-01-17 09:00:18
21,3.005,6.687,127.185,22-01-17 09:00:56
22,3.781,6.651,127.926,22-01-17 09:01:00
23,7.165,2.784,127.443,22-01-17 09:01:05
24,4.031,5.938,127.464,22-01-17 09:01:09
25,6.717,3.233,127.444,22-01-17 09:01:14
26,6.719,2.97,127.183,22-01-17 09:01:18
27,5.729,4.22,127.443,22-01-17 09:01:23
28,4.952,6.904,129.351,22-01-17 09:01:27
29,3.521,6.133,127.148,22-01-17 09:01:32
30,2.511,7.145,127.15,22-01-17 09:01:36
31,2.518,7.174,127.185,22-01-17 09:05:11
32,3.675,6.758,127.927,22-01-17 09:05:16
33,4.996,4.955,127.445,22-01-17 09:05:20
34,2.739,7.215,127.447,22-01-17 09:05:25
35,4.94,5.012,127.445,22-01-17 09:05:29
36,6.627,3.041,127.163,22-01-17 09:05:34
37,5.659,4.287,127.44,22-01-17 09:05:38
38,4.703,7.154,129.351,22-01-17 09:05:43
39,3.277,6.382,127.153,22-01-17 09:05:47
40,2.454,7.202,127.149,22-01-17 09:05:52
41,2.544,7.15,127.188,22-01-17 09:06:07
42,2.549,7.144,127.187,22-01-17 09:06:44
43,3.687,6.749,127.93,22-01-17 09:06:48
44,5.034,4.917,127.445,22-01-17 09:06:53
45,2.771,7.182,127.446,22-01-17 09:06:57
46,4.996,4.962,127.452,22-01-17 09:07:01
47,6.672,2.998,127.163,22-01-17 09:07:06
48,5.686,4.275,127.454,22-01-17 09:07:10
49,4.737,7.122,129.353,22-01-17 09:07:15
50,3.325,6.33,127.149,22-01-17 09:07:20
51,2.561,7.148,127.203,22-01-17 09:23:36
52,3.699,6.756,127.948,22-01-17 09:23:41
53,5.037,4.935,127.466,22-01-17 09:23:46
54,2.776,7.199,127.469,22-01-17 09:23:50
55,4.999,4.977,127.47,22-01-17 09:23:55
56,6.667,3.018,127.18,22-01-17 09:23:59
57,6.667,3.018,127.454,22-01-17 09:24:04
58,4.766,7.102,129.362,22-01-17 09:24:08
59,3.326,6.344,127.164,22-01-17 09:24:13
60,2.51,7.166,127.169,22-01-17 09:24:17
61,2.554,7.159,127.207,22-01-17 09:24:39
62,2.55,7.163,127.207,22-01-17 09:25:21
63,3.689,6.764,127.946,22-01-17 09:25:25
64,5.034,4.937,127.465,22-01-17 09:25:30
65,2.776,7.198,127.467,22-01-17 09:25:34
66,4.974,5.002,127.47,22-01-17 09:25:39
67,6.659,3.031,127.184,22-01-17 09:25:43
68,5.695,4.272,127.46,22-01-17 09:25:48
69,4.782,7.083,129.359,22-01-17 09:25:52
70,3.323,6.351,127.168,22-01-17 09:25:57
71,4.694,5.037,127.225,22-01-17 10:09:25
72,5.48,4.995,127.969,22-01-17 10:09:30
73,4.694,5.3,127.488,22-01-17 10:09:34
74,5.091,4.906,127.49,22-01-17 10:09:39
75,3.303,6.694,127.491,22-01-17 10:09:43
76,3.225,6.488,127.207,22-01-17 10:09:47
77,5.716,4.274,127.484,22-01-17 10:09:52
78,4.953,6.922,129.369,22-01-17 10:09:56
79,3.461,6.238,127.193,22-01-17 10:10:01
80,3.336,6.354,127.185,22-01-17 10:10:06
81,4.77,4.963,127.227,22-01-17 10:10:21
82,4.759,4.973,127.226,22-01-17 10:10:53
83,5.533,4.946,127.974,22-01-17 10:10:57
84,4.751,5.251,127.496,22-01-17 10:11:02
85,5.119,4.878,127.491,22-01-17 10:11:06
86,3.289,6.715,127.498,22-01-17 10:11:10
87,3.237,6.473,127.204,22-01-17 10:11:15
88,5.76,4.226,127.48,22-01-17 10:11:19
89,4.986,6.888,129.368,22-01-17 10:11:24
90,3.533,6.159,127.186,22-01-17 10:11:28
91,4.758,4.971,127.223,22-01-17 10:19:51
92,5.495,4.978,127.968,22-01-17 10:19:56
93,4.735,5.257,127.486,22-01-17 10:20:01
94,5.095,4.9,127.489,22-01-17 10:20:05
95,3.239,6.759,127.492,22-01-17 10:20:09
96,3.206,6.501,127.201,22-01-17 10:20:14
97,5.721,4.261,127.476,22-01-17 10:20:18
98,5.006,6.87,129.37,22-01-17 10:20:23
99,5.471,4.218,127.183,22-01-17 10:20:27
100,5.397,4.291,127.182,22-01-17 10:20:32
