No,Left,Right,Total Distance,Date
1,10.684,8.668,136.852,21-12-16 13:40:53
2,10.696,8.657,136.854,21-12-16 13:59:05
3,10.582,8.779,136.861,21-12-16 15:46:13
4,10.581,8.781,136.862,21-12-16 15:46:37
5,10.589,8.774,136.862,21-12-16 15:47:38
6,10.585,8.77,136.856,21-12-16 15:47:40
7,10.583,8.77,136.853,21-12-16 15:47:43
8,10.584,8.771,136.855,21-12-16 15:47:48
9,10.58,8.779,136.859,21-12-16 15:49:35
10,10.581,8.778,136.859,21-12-16 15:49:39
11,10.58,8.779,136.859,21-12-16 15:49:56
12,10.582,8.774,136.856,21-12-16 15:49:59
13,10.587,8.767,136.854,21-12-16 15:50:01
14,10.583,8.771,136.854,21-12-16 15:50:03
15,10.587,8.769,136.856,21-12-16 15:50:07
16,10.582,8.771,136.853,21-12-16 15:50:09
17,10.585,8.77,136.855,21-12-16 15:50:11
18,10.585,8.769,136.854,21-12-16 15:50:13
19,10.587,8.768,136.855,21-12-16 15:50:59
20,10.585,8.77,136.854,21-12-16 15:51:04
21,10.586,8.772,136.857,21-12-16 15:51:48
22,10.593,8.764,136.857,21-12-16 15:51:50
23,10.596,8.761,136.857,21-12-16 15:51:53
24,10.593,8.766,136.859,21-12-16 15:51:55
25,10.594,8.762,136.855,21-12-16 15:51:57
26,10.596,8.76,136.856,21-12-16 15:52:02
27,10.596,8.761,136.856,21-12-16 15:52:04
28,10.597,8.761,136.858,21-12-16 15:52:06
29,10.596,8.761,136.857,21-12-16 15:52:09
30,10.596,8.76,136.856,21-12-16 15:52:11
31,10.585,8.774,136.859,21-12-16 15:55:11
32,10.583,8.775,136.857,21-12-16 15:55:19
33,10.584,8.773,136.858,21-12-16 15:55:22
34,10.582,8.776,136.858,21-12-16 15:55:25
35,10.582,8.773,136.855,21-12-16 15:55:28
36,10.593,8.765,136.858,21-12-16 15:59:18
37,10.59,8.768,136.858,21-12-16 16:00:31
38,10.596,8.764,136.859,21-12-16 16:00:37
39,10.591,8.763,136.854,21-12-16 16:00:39
40,10.591,8.762,136.853,21-12-16 16:00:41
41,10.591,8.766,136.857,21-12-16 16:00:43
42,10.592,8.765,136.856,21-12-16 16:00:45
43,10.592,8.761,136.853,21-12-16 16:00:47
44,10.592,8.764,136.856,21-12-16 16:00:49
45,10.591,8.761,136.852,21-12-16 16:00:52
46,10.536,8.823,136.859,21-12-16 16:51:46
47,10.537,8.823,136.859,21-12-16 16:51:51
48,10.535,8.822,136.857,21-12-16 16:51:53
49,10.536,8.822,136.858,21-12-16 16:51:55
50,10.536,8.822,136.857,21-12-16 16:51:57
51,10.535,8.823,136.858,21-12-16 16:51:59
52,10.536,8.821,136.856,21-12-16 16:52:01
53,10.535,8.822,136.857,21-12-16 16:52:03
54,10.535,8.823,136.858,21-12-16 16:52:05
55,10.535,8.821,136.856,21-12-16 16:52:07
56,10.537,8.819,136.856,21-12-16 16:53:07
57,10.536,8.823,136.859,21-12-16 16:53:12
58,10.536,8.822,136.858,21-12-16 16:54:22
59,10.534,8.821,136.855,21-12-16 16:54:25
60,10.533,8.821,136.854,21-12-16 16:54:27
61,10.533,8.821,136.854,21-12-16 16:54:29
62,10.533,8.821,136.854,21-12-16 16:54:32
63,10.533,8.82,136.853,21-12-16 16:54:34
64,10.533,8.82,136.853,21-12-16 16:54:36
65,10.531,8.82,136.851,21-12-16 16:54:38
66,10.531,8.821,136.852,21-12-16 16:54:40
67,10.531,8.821,136.852,21-12-16 16:54:42
68,10.527,8.829,136.856,21-12-16 16:56:38
69,10.529,8.827,136.856,21-12-16 16:56:40
70,10.527,8.827,136.854,21-12-16 16:56:43
71,10.527,8.828,136.855,21-12-16 16:56:46
