No,Left,Right,Total Distance,Date
1,6.187,3.846,127.056,22-01-05 09:48:45
2,6.763,4.022,127.808,22-01-05 09:48:49
3,6.876,3.484,127.383,22-01-05 09:48:54
4,6.544,4.302,127.869,22-01-05 09:48:58
5,7.17,3.184,127.376,22-01-05 09:49:03
6,6.704,4.103,127.83,22-01-05 09:49:08
7,3.972,6.09,127.086,22-01-05 09:49:13
8,6.479,3.555,127.056,22-01-05 09:49:18
9,6.972,3.045,127.04,22-01-05 09:49:23
10,7.288,3.039,127.35,22-01-05 10:42:02
11,6.194,3.873,127.09,22-01-05 10:42:07
12,6.801,4.033,127.857,22-01-05 10:42:12
13,6.859,3.532,127.414,22-01-05 10:42:17
14,6.578,4.303,127.903,22-01-05 10:42:21
15,7.21,3.186,127.419,22-01-05 10:42:26
16,6.714,4.128,127.865,22-01-05 10:42:31
17,3.958,6.144,127.125,22-01-05 10:42:36
18,6.482,3.588,127.094,22-01-05 10:42:41
19,6.969,3.085,127.077,22-01-05 10:42:46
20,7.243,3.091,127.357,22-01-05 10:43:00
21,6.196,3.875,127.094,22-01-05 10:43:05
22,6.792,4.044,127.858,22-01-05 10:43:10
23,6.851,3.543,127.417,22-01-05 10:43:15
24,6.57,4.313,127.907,22-01-05 10:43:20
25,7.214,3.186,127.423,22-01-05 10:43:25
26,6.752,4.106,127.881,22-01-05 10:43:30
27,3.953,6.157,127.133,22-01-05 10:43:35
28,6.488,3.584,127.095,22-01-05 10:43:40
29,6.959,3.1,127.082,22-01-05 10:43:45
30,7.212,3.124,127.359,22-01-05 10:57:23
31,6.201,3.886,127.111,22-01-05 10:57:27
32,6.792,4.049,127.864,22-01-05 10:57:32
33,6.832,3.564,127.419,22-01-05 10:57:37
34,6.575,4.32,127.918,22-01-05 10:57:42
35,7.221,3.183,127.427,22-01-05 10:57:46
36,6.733,4.128,127.883,22-01-05 10:57:51
37,3.952,6.165,127.14,22-01-05 10:57:56
38,6.486,3.59,127.098,22-01-05 10:58:01
39,6.935,3.12,127.078,22-01-05 10:58:06
40,7.198,3.131,127.352,22-01-05 13:22:52
41,6.201,3.876,127.1,22-01-05 13:22:57
42,6.782,4.065,127.87,22-01-05 13:23:02
43,6.821,3.567,127.411,22-01-05 13:23:06
44,6.568,4.321,127.911,22-01-05 13:23:11
45,7.224,3.179,127.425,22-01-05 13:23:16
46,6.739,4.123,127.886,22-01-05 13:23:20
47,3.933,6.177,127.133,22-01-05 13:23:25
