No,Left,Right,Total Distance,Date
1,7.257,2.77,127.051,21-12-28 12:59:30
2,5.662,5.138,127.823,21-12-28 12:59:36
3,6.711,5.241,128.975,21-12-28 12:59:40
4,5.653,6.507,129.184,21-12-28 12:59:45
5,5.789,6.17,128.983,21-12-28 12:59:51
6,7.032,4.842,128.897,21-12-28 12:59:56
7,6.036,4.282,127.341,21-12-28 13:00:01
8,4.874,7.04,128.937,21-12-28 13:00:05
9,5.725,4.579,127.327,21-12-28 13:00:10
10,7.274,2.768,127.065,21-12-28 13:00:34
11,5.671,5.135,127.829,21-12-28 13:00:39
12,6.708,5.246,128.977,21-12-28 13:00:43
13,5.641,6.53,129.194,21-12-28 13:00:48
14,5.761,6.197,128.981,21-12-28 13:00:53
15,7.046,4.826,128.895,21-12-28 13:00:58
16,6.034,4.282,127.34,21-12-28 13:01:03
17,4.866,7.06,128.949,21-12-28 13:01:08
18,5.712,4.593,127.328,21-12-28 13:01:13
19,7.279,2.81,127.112,21-12-28 17:00:55
20,7.296,2.8,127.119,21-12-28 17:19:53
21,7.374,2.98,127.376,21-12-28 18:04:29
22,7.247,2.87,127.141,21-12-28 18:04:34
23,5.704,5.181,127.908,21-12-28 18:04:39
24,6.703,5.287,129.013,21-12-28 18:04:44
25,5.659,6.543,129.225,21-12-28 18:04:49
26,5.781,6.211,129.015,21-12-28 18:04:54
27,7.006,4.903,128.933,21-12-28 18:04:59
28,6.034,4.36,127.417,21-12-28 18:05:03
29,4.864,7.086,128.974,21-12-28 18:05:08
30,5.694,4.687,127.404,21-12-28 18:05:12
31,6.129,3.95,127.102,21-12-28 18:11:09
32,5.699,5.182,127.904,21-12-28 18:11:14
33,6.692,5.297,129.012,21-12-28 18:11:18
34,5.684,6.515,129.221,21-12-28 18:11:23
35,5.806,6.175,129.004,21-12-28 18:11:28
36,7.027,4.891,128.941,21-12-28 18:11:33
37,6.038,4.355,127.416,21-12-28 18:11:38
38,4.897,7.071,128.991,21-12-28 18:11:43
39,5.695,4.686,127.405,21-12-28 18:11:47
40,7.384,2.988,127.394,21-12-28 18:18:16
41,6.437,3.685,127.146,21-12-28 18:18:21
42,5.705,5.2,127.928,21-12-28 18:18:26
43,6.681,5.316,129.02,21-12-28 18:18:31
44,5.665,6.539,129.227,21-12-28 18:18:35
45,5.797,6.196,129.016,21-12-28 18:18:40
46,7.031,4.891,128.945,21-12-28 18:18:45
47,6.034,4.364,127.421,21-12-28 18:18:50
48,4.878,7.081,128.982,21-12-28 18:18:55
49,5.676,4.709,127.407,21-12-28 18:18:59
50,7.378,2.99,127.391,21-12-28 19:06:50
51,6.408,3.683,127.114,21-12-28 19:06:55
52,5.677,5.199,127.899,21-12-28 19:07:00
53,6.67,5.316,129.009,21-12-28 19:07:05
54,5.653,6.532,129.207,21-12-28 19:07:09
55,5.78,6.197,129,21-12-28 19:07:14
56,7.02,4.886,128.928,21-12-28 19:07:19
57,6.022,4.353,127.399,21-12-28 19:07:24
58,4.868,7.073,128.964,21-12-28 19:07:29
59,5.654,4.7,127.377,21-12-28 19:07:34
