No,Left,Right,Total Distance,Date
1,6.105,4.194,127.517,22-01-13 09:13:20
2,5.343,6.847,129.408,22-01-13 09:13:27
3,5.693,4.619,127.53,22-01-13 09:13:34
4,6.089,4.211,127.517,22-01-13 09:15:50
5,5.307,6.884,129.409,22-01-13 09:15:55
6,5.694,4.62,127.531,22-01-13 09:16:00
7,7.265,3.535,128.018,22-01-13 09:16:04
8,4.955,5.083,127.256,22-01-13 09:16:13
9,6.091,4.218,127.527,22-01-13 09:16:41
10,5.285,6.905,129.408,22-01-13 09:16:45
11,5.695,4.619,127.532,22-01-13 09:16:50
12,7.259,3.545,128.022,22-01-13 09:16:55
13,4.97,5.067,127.255,22-01-13 09:16:59
14,6.855,3.466,127.539,22-01-13 09:17:04
15,7.146,3.662,128.026,22-01-13 09:17:09
16,6.953,3.086,127.257,22-01-13 09:17:13
17,6.867,3.453,127.537,22-01-13 09:17:18
18,2.807,7.226,127.251,22-01-13 09:17:23
19,6.087,4.223,127.529,22-01-13 09:17:42
20,5.252,6.938,129.408,22-01-13 09:17:46
21,5.697,4.614,127.529,22-01-13 09:17:51
22,7.255,3.549,128.022,22-01-13 09:17:56
23,4.989,5.048,127.254,22-01-13 09:18:01
24,6.853,3.468,127.539,22-01-13 09:18:06
25,7.158,3.65,128.025,22-01-13 09:18:11
26,6.954,3.085,127.257,22-01-13 09:18:16
27,6.857,3.461,127.536,22-01-13 09:18:20
28,2.8,7.235,127.252,22-01-13 09:18:25
29,6.078,4.228,127.524,22-01-13 11:01:25
30,5.234,6.955,129.407,22-01-13 11:01:31
31,5.7,4.612,127.53,22-01-13 11:01:35
32,7.254,3.552,128.024,22-01-13 11:01:40
33,5.005,5.038,127.262,22-01-13 11:01:45
34,6.85,3.474,127.542,22-01-13 11:01:49
35,7.172,3.637,128.027,22-01-13 11:01:54
36,6.952,3.091,127.262,22-01-13 11:01:59
37,6.831,3.492,127.541,22-01-13 11:02:03
38,2.801,7.235,127.254,22-01-13 11:02:08
39,6.06,4.247,127.524,22-01-13 11:24:57
40,6.057,4.257,127.531,22-01-13 11:25:30
41,6.055,4.272,127.545,22-01-13 12:51:27
42,5.162,7.033,129.413,22-01-13 12:51:32
43,5.708,4.619,127.545,22-01-13 12:51:37
44,7.261,3.555,128.034,22-01-13 12:51:42
45,6.195,4.127,127.54,22-01-13 12:52:44
46,6.057,6.142,129.417,22-01-13 12:52:49
47,7.344,2.711,127.273,22-01-13 12:52:54
48,7.344,2.711,127.54,22-01-13 12:53:27
49,5.515,4.822,127.554,22-01-13 12:53:33
50,4.982,7.222,129.422,22-01-13 12:53:37
51,5.657,4.378,127.253,22-01-13 12:53:42
52,5.657,4.378,127.54,22-01-13 12:54:05
53,5.657,4.378,127.554,22-01-13 12:54:10
54,6.236,4.112,127.566,22-01-13 12:54:17
55,6.075,6.117,129.41,22-01-13 12:54:22
56,6.991,3.038,127.247,22-01-13 12:54:27
57,6.991,3.038,127.54,22-01-13 12:54:48
58,6.991,3.038,127.554,22-01-13 12:55:00
59,6.991,3.038,127.566,22-01-13 12:55:06
60,6.207,4.127,127.552,22-01-13 12:55:12
61,5.9,6.295,129.413,22-01-13 12:55:17
62,7.331,2.719,127.267,22-01-13 12:55:22
63,7.331,2.719,127.54,22-01-13 12:55:44
64,7.331,2.719,127.554,22-01-13 12:55:51
65,7.331,2.719,127.566,22-01-13 12:55:57
66,7.331,2.719,127.552,22-01-13 12:56:02
67,3.886,6.471,127.574,22-01-13 12:56:08
68,4.972,7.233,129.423,22-01-13 12:56:13
69,7.325,2.727,127.27,22-01-13 12:56:18
70,0,0,0,22-01-13 12:56:22
71,0,0,0,22-01-13 12:59:38
72,0,0,0,22-01-13 12:59:55
73,0,0,0,22-01-13 13:00:01
74,3.863,6.476,127.556,22-01-13 13:00:07
75,4.953,7.245,129.416,22-01-13 13:00:12
76,7.318,2.73,127.265,22-01-13 13:00:17
77,0,0,0,22-01-13 13:00:21
78,0,0,0,22-01-13 13:00:28
79,0,0,0,22-01-13 13:05:51
80,0,0,0,22-01-13 13:07:58
81,0,0,0,22-01-13 13:10:40
82,0,0,0,22-01-13 13:11:00
83,0,0,0,22-01-13 13:11:08
84,0,0,0,22-01-13 13:11:14
85,3.863,6.477,127.558,22-01-13 13:11:20
86,4.953,7.25,129.422,22-01-13 13:11:25
87,7.319,2.732,127.269,22-01-13 13:11:30
88,0,0,0,22-01-13 13:11:44
89,0,0,0,22-01-13 13:11:49
90,0,0,0,22-01-13 13:11:56
91,0,0,0,22-01-13 13:12:02
92,3.863,6.479,127.559,22-01-13 13:12:09
93,4.953,7.25,129.421,22-01-13 13:12:14
94,7.322,2.731,127.271,22-01-13 13:12:18
95,0,0,0,22-01-13 13:12:22
96,0,0,0,22-01-13 13:13:02
97,0,0,0,22-01-13 13:13:15
98,0,0,0,22-01-13 13:13:21
99,0,0,0,22-01-13 13:13:30
100,3.862,6.483,127.562,22-01-13 13:13:45
101,4.953,7.25,129.421,22-01-13 13:13:50
102,7.324,2.73,127.272,22-01-13 13:13:55
103,0,0,0,22-01-13 13:13:59
104,0,0,0,22-01-13 13:14:23
105,0,0,0,22-01-13 13:14:32
106,0,0,0,22-01-13 13:14:39
107,0,0,0,22-01-13 13:15:25
