No,Left,Right,Total Distance,Date
1,7.172,3.054,127.249,21-12-30 09:15:22
2,6.323,3.639,126.985,21-12-30 09:15:27
3,5.563,5.145,127.731,21-12-30 09:15:32
4,6.625,5.289,128.936,21-12-30 09:15:37
5,5.665,6.462,129.15,21-12-30 09:15:41
6,5.742,6.163,128.927,21-12-30 09:15:46
7,7.036,4.82,128.879,21-12-30 09:15:51
8,5.644,4.582,127.249,21-12-30 09:15:56
9,4.871,6.993,128.887,21-12-30 09:16:01
10,5.399,4.811,127.233,21-12-30 09:16:06
11,7.199,3.016,127.238,21-12-30 09:16:24
12,6.304,3.654,126.981,21-12-30 09:16:29
13,5.551,5.152,127.726,21-12-30 09:16:34
14,6.627,5.28,128.929,21-12-30 09:16:39
15,5.577,6.544,129.144,21-12-30 09:16:44
16,5.723,6.176,128.923,21-12-30 09:16:49
17,7.041,4.788,128.851,21-12-30 09:16:54
18,5.639,4.582,127.244,21-12-30 09:16:58
19,4.875,6.992,128.891,21-12-30 09:17:03
20,5.385,4.827,127.235,21-12-30 09:17:08
21,7.242,2.979,127.244,21-12-30 09:43:04
22,6.3,3.688,127.01,21-12-30 09:43:09
23,5.557,5.166,127.746,21-12-30 09:43:15
24,6.626,5.285,128.934,21-12-30 09:43:19
25,5.585,6.54,129.147,21-12-30 09:43:24
26,5.715,6.194,128.932,21-12-30 09:43:29
27,7.022,4.811,128.857,21-12-30 09:43:34
28,5.648,4.596,127.267,21-12-30 09:43:39
29,4.863,7.012,128.898,21-12-30 09:43:44
30,5.4,4.83,127.253,21-12-30 09:43:49
31,7.23,2.993,127.246,21-12-30 09:54:27
32,6.299,3.681,127.003,21-12-30 09:54:31
33,5.553,5.178,127.753,21-12-30 09:54:36
34,6.618,5.3,128.94,21-12-30 09:54:41
35,5.587,6.543,129.153,21-12-30 09:54:46
36,5.711,6.201,128.935,21-12-30 09:54:51
37,7.036,4.803,128.862,21-12-30 09:54:57
38,5.645,4.606,127.274,21-12-30 09:55:01
39,4.862,7.028,128.913,21-12-30 09:55:06
40,5.378,4.861,127.261,21-12-30 09:55:11
41,7.253,2.97,127.246,21-12-30 09:57:23
42,6.295,3.688,127.006,21-12-30 09:57:28
43,5.548,5.183,127.754,21-12-30 09:57:33
44,6.614,5.305,128.942,21-12-30 09:57:38
45,5.588,6.539,129.151,21-12-30 09:57:43
46,5.717,6.194,128.934,21-12-30 09:57:48
47,7.02,4.819,128.862,21-12-30 09:57:52
48,5.643,4.608,127.274,21-12-30 09:57:57
49,4.867,7.024,128.914,21-12-30 09:58:01
50,5.364,4.873,127.26,21-12-30 09:58:06
51,7.317,3.024,127.364,21-12-30 15:57:01
52,6.367,3.723,127.113,21-12-30 15:57:06
53,5.628,5.235,127.886,21-12-30 15:57:11
54,6.642,5.334,128.999,21-12-30 15:57:16
55,5.639,6.541,129.203,21-12-30 15:57:21
56,5.775,6.198,128.997,21-12-30 15:57:26
57,7.036,4.866,128.925,21-12-30 15:57:31
58,5.742,4.63,127.395,21-12-30 15:57:36
59,4.879,7.073,128.975,21-12-30 15:57:41
60,5.476,4.883,127.382,21-12-30 15:57:46
61,7.312,3.028,127.364,21-12-30 16:00:50
62,6.352,3.741,127.116,21-12-30 16:00:55
63,5.627,5.241,127.891,21-12-30 16:01:00
64,6.641,5.338,129.002,21-12-30 16:01:05
65,5.648,6.537,129.208,21-12-30 16:01:10
66,5.779,6.197,128.999,21-12-30 16:01:15
67,7.025,4.88,128.928,21-12-30 16:01:19
68,5.749,4.63,127.402,21-12-30 16:01:24
69,4.871,7.073,128.967,21-12-30 16:01:29
70,5.47,4.9,127.393,21-12-30 16:01:34
71,7.317,3.021,127.361,21-12-30 16:05:40
72,6.337,3.761,127.121,21-12-30 16:05:45
73,5.623,5.246,127.892,21-12-30 16:05:50
74,6.624,5.354,129.001,21-12-30 16:05:55
75,5.65,6.536,129.208,21-12-30 16:06:00
76,5.779,6.194,128.996,21-12-30 16:06:05
77,7.021,4.885,128.929,21-12-30 16:06:09
78,5.744,4.634,127.4,21-12-30 16:06:14
79,4.883,7.074,128.98,21-12-30 16:06:19
80,5.467,4.908,127.398,21-12-30 16:06:24
81,7.274,3.028,127.324,21-12-30 16:44:03
82,6.309,3.753,127.085,21-12-30 16:44:07
83,5.598,5.236,127.857,21-12-30 16:44:12
84,6.603,5.363,128.989,21-12-30 16:44:16
85,5.667,6.516,129.206,21-12-30 16:44:21
86,5.774,6.189,128.985,21-12-30 16:44:26
87,7.034,4.861,128.918,21-12-30 16:44:31
88,5.713,4.632,127.367,21-12-30 16:44:36
89,4.874,7.067,128.965,21-12-30 16:44:40
90,5.403,4.929,127.355,21-12-30 16:44:45
