No,Left,Right,Total Distance,Date
1,0,0,0,22-01-24 09:08:22
2,0,0,0,22-01-24 09:08:26
3,7.062,2.85,127.407,22-01-24 09:08:29
4,6.511,3.398,127.403,22-01-24 09:08:32
5,6.545,3.356,127.395,22-01-24 09:08:36
6,0,0,0,22-01-24 09:08:39
7,5.678,4.236,127.408,22-01-24 09:08:42
8,5.676,6.159,129.329,22-01-24 09:08:46
9,6.712,2.908,127.115,22-01-24 09:08:49
10,5.091,4.53,127.115,22-01-24 09:08:53
11,6.944,2.715,127.153,22-01-24 09:10:09
12,0,0,0,22-01-24 09:10:12
13,7.066,2.85,127.409,22-01-24 09:10:15
14,6.505,3.411,127.409,22-01-24 09:10:19
15,6.556,3.351,127.4,22-01-24 09:10:22
16,6.226,3.419,127.139,22-01-24 09:10:26
17,5.675,4.243,127.412,22-01-24 09:10:29
18,5.668,6.167,129.329,22-01-24 09:10:32
19,6.714,2.914,127.122,22-01-24 09:10:36
20,5.087,4.534,127.115,22-01-24 09:10:39
21,6.963,2.716,127.173,22-01-24 09:23:17
22,0,0,0,22-01-24 09:23:20
23,7.07,2.862,127.426,22-01-24 09:23:24
24,6.502,3.435,127.431,22-01-24 09:23:27
25,6.54,3.39,127.424,22-01-24 09:23:30
26,6.222,3.437,127.154,22-01-24 09:23:34
27,5.684,4.261,127.439,22-01-24 09:23:37
28,5.666,6.181,129.341,22-01-24 09:23:40
29,6.733,2.912,127.139,22-01-24 09:23:44
30,5.098,4.547,127.139,22-01-24 09:23:47
31,6.978,2.701,127.173,22-01-24 09:24:05
32,0,0,0,22-01-24 09:24:08
33,7.069,2.867,127.43,22-01-24 09:24:11
34,6.498,3.44,127.432,22-01-24 09:24:15
35,6.541,3.39,127.425,22-01-24 09:24:18
36,6.226,3.444,127.164,22-01-24 09:24:21
37,5.665,4.274,127.434,22-01-24 09:24:25
38,5.701,6.151,129.346,22-01-24 09:24:28
39,6.737,2.908,127.139,22-01-24 09:24:31
40,5.096,4.55,127.14,22-01-24 09:24:35
41,6.983,2.695,127.172,22-01-24 09:24:50
42,0,0,0,22-01-24 09:24:53
43,7.075,2.86,127.429,22-01-24 09:24:57
44,6.497,3.446,127.437,22-01-24 09:25:00
45,6.55,3.381,127.426,22-01-24 09:25:03
46,6.219,3.448,127.161,22-01-24 09:25:07
47,6.219,3.448,127.434,22-01-24 09:25:10
48,5.683,6.169,129.347,22-01-24 09:25:13
49,6.75,2.892,127.136,22-01-24 09:25:17
50,5.095,4.55,127.139,22-01-24 09:25:20
51,6.987,2.7,127.181,22-01-24 09:29:31
52,0,0,0,22-01-24 09:29:35
53,7.08,2.863,127.437,22-01-24 09:29:38
54,6.488,3.456,127.438,22-01-24 09:29:41
55,6.561,3.377,127.432,22-01-24 09:29:45
56,6.217,3.455,127.166,22-01-24 09:29:48
57,0,0,0,22-01-24 09:29:51
58,5.67,6.181,129.345,22-01-24 09:29:55
59,6.769,2.881,127.144,22-01-24 09:29:58
60,5.092,4.558,127.145,22-01-24 09:30:02
61,6.996,2.69,127.179,22-01-24 09:30:28
62,0,0,0,22-01-24 09:30:31
63,7.086,2.861,127.441,22-01-24 09:30:34
64,6.485,3.458,127.437,22-01-24 09:30:38
65,6.556,3.383,127.433,22-01-24 09:30:41
66,6.208,3.455,127.157,22-01-24 09:30:45
67,0,0,0,22-01-24 09:30:48
68,5.653,6.203,129.35,22-01-24 09:30:51
69,6.78,2.875,127.149,22-01-24 09:30:55
70,5.09,4.56,127.144,22-01-24 09:30:58
71,7.004,2.701,127.199,22-01-24 09:31:40
72,0,0,0,22-01-24 09:31:44
73,7.081,2.864,127.44,22-01-24 09:31:47
74,6.483,3.464,127.44,22-01-24 09:31:50
75,6.561,3.379,127.434,22-01-24 09:31:54
76,6.21,3.455,127.159,22-01-24 09:31:57
77,5.649,4.302,127.445,22-01-24 09:32:01
78,5.666,6.189,129.349,22-01-24 09:32:04
79,6.784,2.866,127.144,22-01-24 09:32:07
80,5.084,4.568,127.146,22-01-24 09:32:11
81,7.025,2.663,127.182,22-01-24 09:32:37
82,0,0,0,22-01-24 09:32:40
83,7.08,2.866,127.44,22-01-24 09:32:43
84,6.476,3.479,127.449,22-01-24 09:32:47
85,6.562,3.38,127.436,22-01-24 09:32:50
86,6.205,3.462,127.161,22-01-24 09:32:53
87,5.651,4.295,127.44,22-01-24 09:32:57
