No,Left,Right,Total Distance,Date
1,3.474,2.284,123.258,21-12-15 10:10:40
2,3.485,2.282,123.268,21-12-15 10:10:45
3,3.477,2.281,123.258,21-12-15 10:10:51
4,3.473,2.278,123.251,21-12-15 10:15:00
5,3.47,2.279,123.25,21-12-15 10:15:03
6,3.474,2.279,123.253,21-12-15 10:15:07
7,3.473,2.277,123.25,21-12-15 10:15:09
8,3.471,2.279,123.249,21-12-15 10:15:12
9,3.473,2.279,123.252,21-12-15 10:15:15
10,3.472,2.278,123.251,21-12-15 10:15:45
11,3.481,2.279,123.26,21-12-15 10:15:47
12,3.472,2.277,123.249,21-12-15 10:15:50
13,3.481,2.279,123.26,21-12-15 10:15:52
14,3.482,2.278,123.26,21-12-15 10:15:55
15,3.482,2.279,123.261,21-12-15 10:16:36
16,3.472,2.278,123.25,21-12-15 10:16:38
17,3.482,2.278,123.26,21-12-15 10:16:41
18,3.47,2.278,123.248,21-12-15 10:16:44
19,3.473,2.278,123.251,21-12-15 10:16:46
20,3.471,2.278,123.249,21-12-15 10:16:48
21,3.473,2.279,123.252,21-12-15 10:16:50
22,3.483,2.279,123.262,21-12-15 10:16:52
23,3.473,2.278,123.251,21-12-15 10:16:55
24,3.471,2.279,123.25,21-12-15 10:16:57
25,3.472,2.28,123.252,21-12-15 10:16:59
26,3.472,2.278,123.25,21-12-15 10:18:55
27,3.482,2.278,123.26,21-12-15 10:18:59
28,3.471,2.278,123.249,21-12-15 10:19:04
29,3.482,2.278,123.26,21-12-15 10:19:07
30,3.471,2.278,123.249,21-12-15 10:19:12
31,3.471,2.278,123.249,21-12-15 10:19:16
32,3.471,2.278,123.25,21-12-15 10:19:20
33,3.47,2.279,123.248,21-12-15 10:19:24
34,3.482,2.279,123.261,21-12-15 10:19:29
35,3.47,2.279,123.249,21-12-15 10:19:35
36,3.482,2.279,123.261,21-12-15 10:19:39
37,3.472,2.278,123.25,21-12-15 10:19:42
38,3.483,2.279,123.263,21-12-15 10:19:45
39,3.472,2.28,123.252,21-12-15 10:19:49
40,3.472,2.279,123.25,21-12-15 10:19:52
41,3.472,2.279,123.251,21-12-15 10:20:00
42,3.471,2.279,123.25,21-12-15 10:20:08
43,3.471,2.279,123.25,21-12-15 10:20:12
44,3.473,2.278,123.25,21-12-15 10:20:16
45,3.472,2.279,123.251,21-12-15 10:20:20
46,3.47,2.279,123.248,21-12-15 10:20:23
47,3.481,2.279,123.26,21-12-15 10:20:26
48,3.472,2.278,123.25,21-12-15 10:20:29
49,3.472,2.279,123.252,21-12-15 10:31:19
50,3.471,2.278,123.25,21-12-15 10:31:24
51,3.484,2.28,123.264,21-12-15 10:31:28
52,3.472,2.279,123.252,21-12-15 10:31:33
53,3.483,2.28,123.263,21-12-15 10:31:37
54,3.472,2.28,123.252,21-12-15 10:31:41
55,3.483,2.28,123.263,21-12-15 10:31:47
56,3.472,2.28,123.252,21-12-15 10:31:50
57,3.484,2.28,123.264,21-12-15 10:31:53
58,3.484,2.281,123.265,21-12-15 10:31:56
59,3.473,2.281,123.254,21-12-15 10:31:59
60,3.474,2.28,123.254,21-12-15 10:32:01
61,3.472,2.281,123.253,21-12-15 10:32:07
62,3.472,2.28,123.252,21-12-15 10:32:11
63,3.472,2.282,123.254,21-12-15 10:32:14
64,3.484,2.28,123.263,21-12-15 10:32:33
65,3.473,2.28,123.253,21-12-15 10:32:36
66,3.472,2.28,123.252,21-12-15 10:32:39
67,3.472,2.28,123.252,21-12-15 10:32:42
68,3.472,2.279,123.25,21-12-15 10:34:47
69,3.471,2.28,123.251,21-12-15 10:34:49
70,3.472,2.279,123.251,21-12-15 10:34:52
71,3.472,2.278,123.25,21-12-15 10:36:02
72,3.472,2.28,123.252,21-12-15 10:36:05
73,3.484,2.28,123.263,21-12-15 10:36:08
74,3.484,2.28,123.264,21-12-15 10:36:10
75,3.484,2.282,123.266,21-12-15 10:36:12
76,3.473,2.281,123.254,21-12-15 10:36:15
77,3.484,2.281,123.265,21-12-15 10:36:17
78,3.474,2.281,123.255,21-12-15 10:36:19
79,3.471,2.283,123.254,21-12-15 10:36:22
80,3.473,2.283,123.256,21-12-15 10:36:26
81,3.472,2.279,123.25,21-12-15 10:40:04
82,3.472,2.28,123.252,21-12-15 10:40:07
83,3.485,2.281,123.266,21-12-15 11:05:11
84,3.484,2.281,123.265,21-12-15 11:09:30
85,3.473,2.281,123.255,21-12-15 11:11:00
86,3.475,2.282,123.257,21-12-15 11:13:52
87,3.484,2.283,123.268,21-12-15 11:13:59
88,3.485,2.284,123.269,21-12-15 11:18:20
89,3.484,2.283,123.267,21-12-15 11:20:23
90,3.484,2.283,123.268,21-12-15 11:20:56
91,3.484,2.285,123.269,21-12-15 11:21:27
92,3.484,2.281,123.265,21-12-15 11:22:00
93,3.473,2.281,123.255,21-12-15 11:22:02
94,3.483,2.284,123.267,21-12-15 11:22:05
95,3.471,2.283,123.254,21-12-15 11:22:07
96,3.484,2.283,123.267,21-12-15 11:22:09
97,3.484,2.284,123.269,21-12-15 11:22:12
98,3.485,2.284,123.269,21-12-15 11:22:14
99,3.485,2.285,123.269,21-12-15 11:22:17
100,3.485,2.284,123.269,21-12-15 11:22:19
101,3.485,2.285,123.271,21-12-15 11:22:24
102,3.477,2.297,123.275,21-12-15 12:48:04
103,3.478,2.297,123.274,21-12-15 12:48:11
104,3.485,2.301,123.286,21-12-15 12:49:08
105,3.485,2.298,123.283,21-12-15 12:49:12
106,3.477,2.298,123.275,21-12-15 12:49:15
107,3.479,2.299,123.278,21-12-15 12:49:18
108,3.486,2.298,123.284,21-12-15 12:49:22
109,3.478,2.303,123.281,21-12-15 12:49:28
110,8.637,10.743,136.881,21-12-15 19:19:12
111,8.635,10.745,136.879,21-12-15 19:19:18
112,8.636,10.742,136.878,21-12-15 19:19:24
113,8.614,10.763,136.877,21-12-15 19:22:00
114,8.606,10.776,136.882,21-12-15 19:44:38
115,8.601,10.782,136.884,21-12-15 19:48:58
116,8.6,10.788,136.888,21-12-15 19:49:49
117,8.598,10.787,136.885,21-12-15 19:49:52
118,8.597,10.788,136.885,21-12-15 19:49:55
119,8.603,10.781,136.884,21-12-15 19:55:57
120,8.594,10.794,136.888,21-12-15 20:00:14
121,8.6,10.787,136.886,21-12-15 20:01:01
122,8.596,10.791,136.888,21-12-15 20:01:33
123,8.601,10.783,136.884,21-12-15 20:02:18
124,8.6,10.782,136.882,21-12-15 20:02:23
