No,Left,Right,Total Distance,Date
1,5.4,5.861,128.761,21-12-14 09:27:04
2,5.386,5.862,128.748,21-12-14 09:27:06
3,5.399,5.862,128.761,21-12-14 09:27:08
4,5.401,5.862,128.763,21-12-14 09:27:10
5,5.401,5.862,128.763,21-12-14 09:27:12
6,5.387,5.862,128.749,21-12-14 09:27:14
7,5.401,5.862,128.763,21-12-14 09:27:16
8,5.401,5.862,128.763,21-12-14 09:27:27
9,5.399,5.863,128.762,21-12-14 09:27:36
10,5.383,5.863,128.746,21-12-14 09:43:22
11,5.398,5.863,128.761,21-12-14 09:43:25
12,5.399,5.863,128.762,21-12-14 09:43:27
13,5.398,5.863,128.761,21-12-14 09:43:29
14,5.401,5.864,128.765,21-12-14 09:43:31
15,5.401,5.864,128.764,21-12-14 09:43:33
16,5.401,5.863,128.764,21-12-14 09:43:35
17,5.386,5.864,128.749,21-12-14 09:43:36
18,5.401,5.863,128.764,21-12-14 09:43:38
19,5.386,5.865,128.75,21-12-14 09:43:40
20,5.401,5.865,128.766,21-12-14 09:43:42
21,5.385,5.864,128.749,21-12-14 09:44:01
22,5.399,5.863,128.762,21-12-14 09:44:03
23,5.386,5.864,128.749,21-12-14 09:44:05
24,5.399,5.864,128.763,21-12-14 09:44:06
25,5.386,5.864,128.75,21-12-14 09:44:08
26,5.399,5.864,128.763,21-12-14 09:44:10
27,5.4,5.864,128.764,21-12-14 09:44:11
28,5.4,5.864,128.763,21-12-14 09:44:13
29,5.399,5.865,128.764,21-12-14 09:44:15
30,5.4,5.864,128.764,21-12-14 09:44:17
31,5.398,5.864,128.763,21-12-14 09:44:36
32,5.397,5.865,128.762,21-12-14 09:44:39
33,5.398,5.865,128.763,21-12-14 09:44:42
34,5.386,5.865,128.751,21-12-14 09:44:44
35,5.399,5.865,128.764,21-12-14 09:44:48
36,5.401,5.864,128.765,21-12-14 09:44:50
37,5.401,5.864,128.765,21-12-14 09:44:53
38,5.399,5.865,128.764,21-12-14 09:45:03
39,5.399,5.865,128.764,21-12-14 09:45:06
40,5.4,5.865,128.764,21-12-14 09:45:09
41,5.402,5.923,128.824,21-12-14 18:07:03
42,5.392,5.918,128.81,21-12-14 18:09:07
43,5.399,5.92,128.819,21-12-14 18:09:30
44,5.4,5.92,128.82,21-12-14 18:10:00
45,5.397,5.921,128.819,21-12-14 18:10:02
46,5.4,5.919,128.819,21-12-14 18:10:05
47,5.387,5.919,128.807,21-12-14 18:10:08
48,5.398,5.92,128.818,21-12-14 18:10:11
49,5.399,5.921,128.821,21-12-14 18:10:13
50,5.392,5.92,128.812,21-12-14 18:10:15
51,5.4,5.921,128.821,21-12-14 18:10:18
52,5.399,5.922,128.821,21-12-14 18:10:20
53,5.392,5.921,128.813,21-12-14 18:10:22
54,5.392,5.921,128.813,21-12-14 18:10:24
55,5.401,5.921,128.822,21-12-14 18:10:26
56,5.401,5.921,128.822,21-12-14 18:10:28
57,5.392,5.92,128.812,21-12-14 18:13:29
58,5.399,5.921,128.82,21-12-14 18:13:31
59,5.4,5.921,128.82,21-12-14 18:13:36
60,5.392,5.921,128.812,21-12-14 18:13:38
61,5.392,5.922,128.814,21-12-14 18:13:41
62,5.4,5.919,128.819,21-12-14 18:13:44
63,5.393,5.921,128.813,21-12-14 18:13:46
64,5.392,5.92,128.812,21-12-14 18:13:50
65,5.4,5.921,128.821,21-12-14 18:13:53
66,5.399,5.922,128.821,21-12-14 18:14:47
67,5.382,5.927,128.809,21-12-14 18:23:49
68,5.401,5.926,128.827,21-12-14 18:23:57
69,5.384,5.927,128.81,21-12-14 18:24:04
70,5.398,5.926,128.823,21-12-14 18:24:09
71,5.384,5.925,128.809,21-12-14 18:24:12
72,5.385,5.925,128.81,21-12-14 18:24:15
73,5.401,5.925,128.826,21-12-14 18:24:20
74,5.385,5.926,128.81,21-12-14 18:24:26
75,5.4,5.925,128.825,21-12-14 18:24:32
76,5.401,5.925,128.827,21-12-14 18:24:40
77,5.399,5.934,128.833,21-12-14 19:50:21
78,5.399,5.935,128.833,21-12-14 19:50:23
79,5.401,5.933,128.834,21-12-14 19:50:27
80,5.385,5.934,128.818,21-12-14 19:50:30
81,5.39,5.928,128.819,21-12-14 20:18:49
82,5.38,5.929,128.809,21-12-14 20:18:51
83,5.397,5.93,128.827,21-12-14 20:18:54
84,5.379,5.93,128.809,21-12-14 20:18:56
85,5.398,5.929,128.827,21-12-14 20:19:20
86,5.4,5.929,128.828,21-12-14 20:19:24
87,5.396,5.929,128.826,21-12-14 20:19:27
88,5.398,5.929,128.827,21-12-14 20:19:40
89,5.38,5.93,128.81,21-12-14 20:19:46
90,5.39,5.929,128.819,21-12-14 20:19:48
91,5.4,5.929,128.829,21-12-14 20:19:50
92,5.39,5.929,128.819,21-12-14 20:20:48
93,5.398,5.929,128.827,21-12-14 20:20:50
94,5.398,5.929,128.827,21-12-14 20:20:52
95,5.39,5.928,128.819,21-12-14 20:20:54
96,5.39,5.929,128.819,21-12-14 20:20:57
97,5.398,5.929,128.828,21-12-14 20:21:00
98,5.39,5.929,128.819,21-12-14 20:21:02
99,5.4,5.93,128.83,21-12-14 20:21:04
